Name,URL,Stars
qianguyihao/Web,https://github.com/qianguyihao/Web,28.6k
OCA/web,https://github.com/OCA/web,1.2k
hoisie/web,https://github.com/hoisie/web,3.7k
base/web,https://github.com/base/web,688
prisma/web,https://github.com/prisma/web,1.1k
gitcoinco/web,https://github.com/gitcoinco/web,1.8k
pi-hole/web,https://github.com/pi-hole/web,2.5k
bitwarden/web,https://github.com/bitwarden/web,2.6k
modernweb-dev/web,https://github.com/modernweb-dev/web,2.4k
odota/web,https://github.com/odota/web,1.2k
8thwall/web,https://github.com/8thwall/web,613
meshtastic/web,https://github.com/meshtastic/web,829
Freedium-cfd/web,https://github.com/Freedium-cfd/web,1.8k
chwshuang/web,https://github.com/chwshuang/web,533
openmultiplayer/web,https://github.com/openmultiplayer/web,142
Humsen/web,https://github.com/Humsen/web,665
owncloud/web,https://github.com/owncloud/web,568
react-hookz/web,https://github.com/react-hookz/web,2.2k
gocraft/web,https://github.com/gocraft/web,1.5k
zhuifengshaonianhanlu/pikachu,https://github.com/zhuifengshaonianhanlu/pikachu,4.5k
